model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.839,0.006,0.24,0.182,0.188,0.182,0.131,7e-06,latent,10,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.023192167282104492
mlp,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,6.228,0.029,0.218,0.211,0.262,0.223,0.133,2e-05,latent,10,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.023192167282104492
xgb,craig,0.6,0.467,0.467,0.6,0.2,0.267,0.267,0.2,13.863,9.035,0.5,0.432,0.657,0.761,0.5,6e-06,original,10,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.001977205276489258
rf,craig,0.6,0.467,0.467,0.6,0.2,0.267,0.267,0.2,17.963,0.377,0.5,0.432,0.657,0.761,0.5,6e-06,original,10,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.001977205276489258
svc,craig,0.5,0.333,0.4,0.5,0.0,0.0,0.133,0.0,7.483,0.001,0.5,0.432,0.657,0.761,0.506,2e-06,original,10,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.001977205276489258
logreg,craig,0.5,0.4,0.467,0.5,0.316,0.327,0.34,0.316,4.995,0.007,0.598,0.607,0.732,0.752,0.679,7e-06,original,10,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.001977205276489258
mlp,craig,0.5,0.4,0.467,0.5,0.316,0.327,0.34,0.316,7.245,1.57,0.562,0.566,0.705,0.73,0.627,1.6e-05,original,10,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.001977205276489258
xgb,craig,0.6,0.467,0.467,0.6,0.2,0.267,0.267,0.2,5.271,0.592,0.5,0.432,0.657,0.761,0.5,5e-06,latent,10,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.001977205276489258
rf,craig,0.4,0.267,0.267,0.4,0.2,0.133,0.133,0.2,16.498,0.391,0.5,0.432,0.657,0.761,0.5,9e-06,latent,10,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.001977205276489258
svc,craig,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,7.537,0.002,0.538,0.522,0.697,0.758,0.682,2e-06,latent,10,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.001977205276489258
logreg,craig,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,6.894,0.007,0.544,0.534,0.702,0.758,0.688,1.3e-05,latent,10,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.001977205276489258
mlp,craig,0.5,0.4,0.467,0.5,0.316,0.327,0.34,0.316,11.932,0.093,0.598,0.603,0.719,0.727,0.654,2.4e-05,latent,10,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.001977205276489258
xgb,random,0.75,0.747,0.747,0.75,0.112,0.114,0.114,0.112,8.222,0.167,0.753,0.715,0.777,0.764,0.836,5e-06,original,20,0,,,,
rf,random,0.75,0.747,0.747,0.75,0.158,0.158,0.158,0.158,20.758,0.323,0.756,0.724,0.786,0.776,0.851,1.4e-05,original,20,0,,,,
svc,random,0.8,0.778,0.778,0.8,0.218,0.258,0.258,0.218,7.911,0.003,0.748,0.71,0.772,0.758,0.829,4e-06,original,20,0,,,,
logreg,random,0.8,0.793,0.793,0.8,0.17,0.181,0.181,0.17,7.987,0.011,0.696,0.677,0.753,0.743,0.785,8e-06,original,20,0,,,,
mlp,random,0.775,0.773,0.773,0.775,0.184,0.184,0.184,0.184,7.692,1.494,0.756,0.722,0.784,0.772,0.851,1.1e-05,original,20,0,,,,
xgb,k-means,0.95,0.949,0.949,0.95,0.061,0.062,0.062,0.061,8.794,0.478,0.666,0.673,0.767,0.773,0.773,4e-06,original,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0017778873443603516
rf,k-means,0.9,0.896,0.896,0.9,0.094,0.099,0.099,0.094,18.409,0.526,0.722,0.732,0.809,0.813,0.853,3.3e-05,original,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0017778873443603516
svc,k-means,0.725,0.708,0.708,0.725,0.094,0.108,0.108,0.094,7.261,0.003,0.735,0.728,0.8,0.797,0.154,2.7e-05,original,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0017778873443603516
logreg,k-means,0.775,0.77,0.77,0.775,0.094,0.096,0.096,0.094,9.936,0.16,0.751,0.747,0.814,0.813,0.867,1e-05,original,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0017778873443603516
mlp,k-means,0.7,0.682,0.682,0.7,0.203,0.211,0.211,0.203,4.252,1.326,0.787,0.748,0.803,0.792,0.878,1.7e-05,original,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0017778873443603516
xgb,k-means,0.925,0.924,0.924,0.925,0.061,0.062,0.062,0.061,4.271,0.09,0.692,0.589,0.631,0.605,0.803,4e-06,latent,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0017778873443603516
rf,k-means,0.925,0.921,0.921,0.925,0.1,0.106,0.106,0.1,19.037,0.387,0.8,0.738,0.788,0.773,0.873,1.1e-05,latent,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0017778873443603516
svc,k-means,0.75,0.737,0.737,0.75,0.0,0.007,0.007,0.0,5.759,0.002,0.753,0.753,0.82,0.82,0.5,5e-06,latent,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0017778873443603516
logreg,k-means,0.775,0.759,0.759,0.775,0.122,0.139,0.139,0.122,4.769,0.007,0.788,0.751,0.807,0.797,0.872,1.5e-05,latent,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0017778873443603516
