model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
mlp,k-center,0.55,0.493,0.493,0.55,0.292,0.32,0.32,0.292,4.803,1.83,0.55,0.452,0.5,0.466,0.568,4.3e-05,original,10,6,482.8932909965515,0,1.2813762382224754e-06,0.0019328594207763672
xgb,k-center,0.65,0.6,0.6,0.65,0.255,0.292,0.292,0.255,8.665,8.264,0.484,0.359,0.376,0.36,0.473,1.7e-05,latent,10,6,482.8932909965515,0,1.2813762382224754e-06,0.0019328594207763672
rf,k-center,0.55,0.513,0.513,0.55,0.332,0.341,0.341,0.332,17.903,0.145,0.507,0.197,0.103,0.232,0.556,5e-06,latent,10,6,482.8932909965515,0,1.2813762382224754e-06,0.0019328594207763672
svc,k-center,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,5.777,0.002,0.5,0.182,0.081,0.222,0.461,6e-06,latent,10,6,482.8932909965515,0,1.2813762382224754e-06,0.0019328594207763672
logreg,k-center,0.7,0.66,0.66,0.7,0.187,0.227,0.227,0.187,5.265,0.156,0.5,0.182,0.082,0.222,0.561,1e-05,latent,10,6,482.8932909965515,0,1.2813762382224754e-06,0.0019328594207763672
mlp,k-center,0.55,0.493,0.493,0.55,0.292,0.32,0.32,0.292,10.972,0.054,0.565,0.398,0.403,0.398,0.602,3.6e-05,latent,10,6,482.8932909965515,0,1.2813762382224754e-06,0.0019328594207763672
xgb,ag,0.6,0.52,0.52,0.6,0.255,0.299,0.299,0.255,10.909,9.156,0.562,0.504,0.581,0.542,0.6,1e-05,original,10,6,482.8932909965515,0,1.2813762382224754e-06,0.002811908721923828
rf,ag,0.55,0.467,0.467,0.55,0.187,0.223,0.223,0.187,17.448,0.476,0.636,0.551,0.614,0.58,0.677,2.1e-05,original,10,6,482.8932909965515,0,1.2813762382224754e-06,0.002811908721923828
svc,ag,0.65,0.6,0.6,0.65,0.255,0.292,0.292,0.255,5.625,0.002,0.647,0.656,0.77,0.777,0.707,3e-06,original,10,6,482.8932909965515,0,1.2813762382224754e-06,0.002811908721923828
logreg,ag,0.65,0.6,0.6,0.65,0.255,0.292,0.292,0.255,11.307,0.007,0.655,0.642,0.744,0.735,0.708,1e-06,original,10,6,482.8932909965515,0,1.2813762382224754e-06,0.002811908721923828
mlp,ag,0.45,0.413,0.413,0.45,0.245,0.261,0.261,0.245,8.674,0.024,0.648,0.616,0.709,0.688,0.714,3.2e-05,original,10,6,482.8932909965515,0,1.2813762382224754e-06,0.002811908721923828
xgb,ag,0.55,0.5,0.5,0.55,0.187,0.213,0.213,0.187,6.246,2.543,0.658,0.644,0.744,0.734,0.712,7e-06,latent,10,6,482.8932909965515,0,1.2813762382224754e-06,0.002811908721923828
rf,ag,0.5,0.333,0.333,0.5,0.0,0.0,0.0,0.0,28.927,0.102,0.548,0.33,0.3,0.334,0.628,3e-06,latent,10,6,482.8932909965515,0,1.2813762382224754e-06,0.002811908721923828
svc,ag,0.55,0.533,0.533,0.55,0.367,0.372,0.372,0.367,8.129,0.002,0.677,0.693,0.798,0.808,0.258,7e-06,latent,10,6,482.8932909965515,0,1.2813762382224754e-06,0.002811908721923828
logreg,ag,0.5,0.44,0.44,0.5,0.224,0.244,0.244,0.224,10.174,0.113,0.69,0.687,0.783,0.781,0.753,1.5e-05,latent,10,6,482.8932909965515,0,1.2813762382224754e-06,0.002811908721923828
mlp,ag,0.35,0.253,0.253,0.35,0.122,0.065,0.065,0.122,12.431,2.491,0.668,0.623,0.707,0.683,0.736,3e-05,latent,10,6,482.8932909965515,0,1.2813762382224754e-06,0.002811908721923828
xgb,lc,0.85,0.847,0.847,0.85,0.2,0.202,0.202,0.2,4.189,3.262,0.366,0.355,0.45,0.4,0.305,8e-06,original,10,6,482.8932909965515,0,1.2813762382224754e-06,0.0022237300872802734
rf,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,22.424,0.392,0.361,0.365,0.486,0.439,0.3,1.4e-05,original,10,6,482.8932909965515,0,1.2813762382224754e-06,0.0022237300872802734
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.699,0.002,0.348,0.334,0.42,0.37,0.279,2e-06,original,10,6,482.8932909965515,0,1.2813762382224754e-06,0.0022237300872802734
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.846,0.006,0.348,0.344,0.447,0.396,0.281,0.0,original,10,6,482.8932909965515,0,1.2813762382224754e-06,0.0022237300872802734
mlp,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.711,0.038,0.349,0.337,0.427,0.376,0.276,2.6e-05,original,10,6,482.8932909965515,0,1.2813762382224754e-06,0.0022237300872802734
xgb,lc,0.9,0.9,0.9,0.9,0.2,0.2,0.2,0.2,6.894,13.743,0.361,0.306,0.352,0.316,0.335,1.6e-05,latent,10,6,482.8932909965515,0,1.2813762382224754e-06,0.0022237300872802734
rf,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,23.032,0.511,0.315,0.243,0.265,0.245,0.252,1.4e-05,latent,10,6,482.8932909965515,0,1.2813762382224754e-06,0.0022237300872802734
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.179,0.002,0.319,0.253,0.28,0.256,0.258,5e-06,latent,10,6,482.8932909965515,0,1.2813762382224754e-06,0.0022237300872802734
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.333,0.128,0.322,0.232,0.24,0.232,0.255,1e-05,latent,10,6,482.8932909965515,0,1.2813762382224754e-06,0.0022237300872802734
mlp,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.062,0.023,0.347,0.322,0.397,0.349,0.283,3.1e-05,latent,10,6,482.8932909965515,0,1.2813762382224754e-06,0.0022237300872802734
xgb,craig,0.6,0.467,0.467,0.6,0.2,0.267,0.267,0.2,8.135,0.372,0.5,0.438,0.682,0.779,0.489,8e-06,original,10,6,482.8932909965515,0,1.2813762382224754e-06,0.0016901493072509766
rf,craig,0.6,0.467,0.467,0.6,0.2,0.267,0.267,0.2,18.912,0.242,0.5,0.181,0.08,0.221,0.5,1.4e-05,original,10,6,482.8932909965515,0,1.2813762382224754e-06,0.0016901493072509766
svc,craig,0.6,0.467,0.467,0.6,0.2,0.267,0.267,0.2,10.355,0.002,0.5,0.438,0.682,0.779,0.353,2e-06,original,10,6,482.8932909965515,0,1.2813762382224754e-06,0.0016901493072509766
logreg,craig,0.6,0.467,0.533,0.6,0.2,0.267,0.267,0.2,5.479,0.007,0.505,0.504,0.668,0.679,0.539,0.0,original,10,6,482.8932909965515,0,1.2813762382224754e-06,0.0016901493072509766
mlp,craig,0.4,0.267,0.333,0.4,0.2,0.133,0.211,0.2,7.95,1.45,0.567,0.533,0.63,0.598,0.598,2.5e-05,original,10,6,482.8932909965515,0,1.2813762382224754e-06,0.0016901493072509766
xgb,craig,0.6,0.467,0.467,0.6,0.2,0.267,0.267,0.2,5.649,0.177,0.5,0.438,0.682,0.779,0.5,8e-06,latent,10,6,482.8932909965515,0,1.2813762382224754e-06,0.0016901493072509766
rf,craig,0.6,0.467,0.467,0.6,0.2,0.267,0.267,0.2,15.718,0.318,0.5,0.181,0.08,0.221,0.5,8e-06,latent,10,6,482.8932909965515,0,1.2813762382224754e-06,0.0016901493072509766
svc,craig,0.5,0.333,0.4,0.5,0.0,0.0,0.133,0.0,4.426,0.002,0.506,0.461,0.69,0.774,0.409,3e-06,latent,10,6,482.8932909965515,0,1.2813762382224754e-06,0.0016901493072509766
logreg,craig,0.4,0.267,0.267,0.4,0.2,0.133,0.133,0.2,6.908,0.078,0.5,0.438,0.682,0.779,0.663,1.1e-05,latent,10,6,482.8932909965515,0,1.2813762382224754e-06,0.0016901493072509766
mlp,craig,0.3,0.2,0.2,0.3,0.245,0.163,0.163,0.245,6.476,0.043,0.553,0.556,0.703,0.712,0.617,5e-05,latent,10,6,482.8932909965515,0,1.2813762382224754e-06,0.0016901493072509766
xgb,random,0.75,0.733,0.733,0.75,0.274,0.292,0.292,0.274,3.936,0.141,0.596,0.548,0.634,0.601,0.587,7e-06,original,10,7,,,,
rf,random,0.75,0.733,0.733,0.75,0.274,0.292,0.292,0.274,21.206,0.465,0.538,0.49,0.573,0.534,0.585,1.3e-05,original,10,7,,,,
svc,random,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,7.239,0.001,0.535,0.322,0.293,0.326,0.5,3e-06,original,10,7,,,,
logreg,random,0.7,0.68,0.68,0.7,0.245,0.261,0.261,0.245,3.285,0.01,0.574,0.516,0.594,0.557,0.574,0.0,original,10,7,,,,
mlp,random,0.5,0.44,0.44,0.5,0.224,0.244,0.244,0.224,8.626,2.671,0.64,0.572,0.645,0.612,0.686,2.7e-05,original,10,7,,,,
xgb,k-means,0.75,0.733,0.733,0.75,0.0,0.0,0.0,0.0,7.159,0.148,0.589,0.532,0.611,0.575,0.616,8e-06,original,10,7,482.8932909965515,0,1.2813762382224754e-06,0.002271890640258789
rf,k-means,0.6,0.527,0.527,0.6,0.122,0.179,0.179,0.122,18.567,0.185,0.603,0.49,0.535,0.503,0.666,7e-06,original,10,7,482.8932909965515,0,1.2813762382224754e-06,0.002271890640258789
svc,k-means,0.45,0.373,0.373,0.45,0.1,0.114,0.114,0.1,8.485,0.002,0.627,0.627,0.743,0.744,0.33,3e-06,original,10,7,482.8932909965515,0,1.2813762382224754e-06,0.002271890640258789
logreg,k-means,0.55,0.513,0.513,0.55,0.1,0.128,0.128,0.1,4.989,0.11,0.589,0.488,0.537,0.503,0.652,0.0,original,10,7,482.8932909965515,0,1.2813762382224754e-06,0.002271890640258789
