model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
logreg,k-center,0.723,0.685,0.68,0.704,0.082,0.112,0.118,0.089,9.309,0.008,0.523,0.258,0.195,0.275,0.624,0.0,original,0.002,6,0,0,0,0.0021338462829589844
mlp,k-center,0.587,0.585,0.59,0.593,0.124,0.125,0.123,0.122,18.563,0.128,0.549,0.387,0.392,0.387,0.597,5.8e-05,original,0.002,6,0,0,0,0.0021338462829589844
xgb,k-center,0.673,0.671,0.676,0.684,0.114,0.118,0.117,0.114,10.891,51.285,0.524,0.264,0.205,0.28,0.595,2e-05,latent,0.002,6,0,0,0,0.0021338462829589844
rf,k-center,0.557,0.527,0.539,0.575,0.099,0.134,0.125,0.09,22.682,0.278,0.511,0.22,0.139,0.248,0.661,3.2e-05,latent,0.002,6,0,0,0,0.0021338462829589844
svc,k-center,0.64,0.629,0.633,0.645,0.158,0.164,0.162,0.153,8.596,0.003,0.504,0.193,0.098,0.229,0.573,2.6e-05,latent,0.002,6,0,0,0,0.0021338462829589844
logreg,k-center,0.72,0.698,0.702,0.722,0.076,0.089,0.082,0.059,10.046,0.17,0.503,0.189,0.091,0.226,0.651,2.6e-05,latent,0.002,6,0,0,0,0.0021338462829589844
mlp,k-center,0.543,0.533,0.54,0.555,0.125,0.131,0.128,0.123,18.316,0.268,0.526,0.316,0.287,0.32,0.578,4.4e-05,latent,0.002,6,0,0,0,0.0021338462829589844
xgb,ag,0.717,0.711,0.716,0.724,0.197,0.204,0.199,0.189,5.801,1.802,0.561,0.39,0.391,0.39,0.649,9e-06,original,0.002,6,0,0,0,0.0024127960205078125
rf,ag,0.597,0.566,0.574,0.609,0.113,0.15,0.143,0.114,27.342,0.364,0.574,0.406,0.412,0.406,0.646,4e-06,original,0.002,6,0,0,0,0.0024127960205078125
svc,ag,0.61,0.559,0.562,0.609,0.143,0.179,0.174,0.14,8.796,0.003,0.629,0.638,0.76,0.771,0.307,7e-06,original,0.002,6,0,0,0,0.0024127960205078125
logreg,ag,0.607,0.559,0.563,0.609,0.142,0.179,0.175,0.14,4.181,0.254,0.618,0.533,0.595,0.56,0.695,0.0,original,0.002,6,0,0,0,0.0024127960205078125
mlp,ag,0.553,0.491,0.506,0.573,0.144,0.177,0.166,0.127,10.092,0.028,0.607,0.511,0.567,0.532,0.651,2.8e-05,original,0.002,6,0,0,0,0.0024127960205078125
xgb,ag,0.767,0.754,0.759,0.776,0.108,0.126,0.12,0.096,5.554,9.094,0.624,0.578,0.665,0.635,0.69,9e-06,latent,0.002,6,0,0,0,0.0024127960205078125
