model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
mlp,ag,0.667,0.664,0.664,0.667,0.059,0.062,0.062,0.059,7.722,0.082,0.724,0.58,0.689,0.639,0.813,1.3e-05,60,2,804.8343348503113,381.67266488075256,5.721444319613057e-07,0.0014867782592773438
xgb,k_center,0.75,0.747,0.747,0.75,0.026,0.024,0.024,0.026,3.609,0.038,0.684,0.542,0.651,0.596,0.771,8e-06,60,2,804.8343348503113,381.67266488075256,5.721444319613057e-07,0.0014309883117675781
rf,k_center,0.675,0.665,0.665,0.675,0.041,0.049,0.049,0.041,17.996,0.444,0.765,0.638,0.75,0.711,0.843,3.1e-05,60,2,804.8343348503113,381.67266488075256,5.721444319613057e-07,0.0014309883117675781
svc,k_center,0.642,0.631,0.631,0.642,0.097,0.103,0.103,0.097,7.048,0.009,0.572,0.329,0.349,0.33,0.707,1.3e-05,60,2,804.8343348503113,381.67266488075256,5.721444319613057e-07,0.0014309883117675781
logreg,k_center,0.692,0.691,0.691,0.692,0.073,0.072,0.072,0.073,7.039,0.006,0.567,0.347,0.383,0.351,0.686,1e-06,60,2,804.8343348503113,381.67266488075256,5.721444319613057e-07,0.0014309883117675781
mlp,k_center,0.6,0.597,0.597,0.6,0.077,0.076,0.076,0.077,8.081,0.06,0.62,0.422,0.487,0.437,0.659,7e-06,60,2,804.8343348503113,381.67266488075256,5.721444319613057e-07,0.0014309883117675781
xgb,craig,0.665,0.657,0.681,0.7,0.146,0.149,0.14,0.135,4.163,0.025,0.49,0.246,0.238,0.246,0.623,1.4e-05,60,2,804.8343348503113,381.67266488075256,5.721444319613057e-07,0.0013911724090576172
rf,craig,0.695,0.675,0.69,0.7,0.084,0.071,0.046,0.041,14.957,0.36,0.461,0.227,0.215,0.227,0.529,2.1e-05,60,2,804.8343348503113,381.67266488075256,5.721444319613057e-07,0.0013911724090576172
svc,craig,0.599,0.589,0.62,0.65,0.039,0.042,0.05,0.062,6.808,0.002,0.572,0.359,0.4,0.364,0.693,6e-06,60,2,804.8343348503113,381.67266488075256,5.721444319613057e-07,0.0013911724090576172
logreg,craig,0.639,0.638,0.664,0.683,0.047,0.048,0.049,0.062,6.988,0.008,0.613,0.412,0.474,0.426,0.724,0.0,60,2,804.8343348503113,381.67266488075256,5.721444319613057e-07,0.0013911724090576172
mlp,craig,0.645,0.641,0.667,0.683,0.065,0.063,0.058,0.062,6.703,0.685,0.586,0.384,0.438,0.394,0.683,8e-06,60,2,804.8343348503113,381.67266488075256,5.721444319613057e-07,0.0013911724090576172
xgb,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,13.904,0.035,0.228,0.1,0.083,0.101,0.121,1.7e-05,60,2,804.8343348503113,381.67266488075256,5.721444319613057e-07,0.0014421939849853516
rf,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,16.987,0.434,0.243,0.111,0.096,0.111,0.111,3.1e-05,60,2,804.8343348503113,381.67266488075256,5.721444319613057e-07,0.0014421939849853516
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.469,0.005,0.419,0.228,0.234,0.228,0.26,7e-06,60,2,804.8343348503113,381.67266488075256,5.721444319613057e-07,0.0014421939849853516
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.874,0.007,0.374,0.135,0.087,0.14,0.188,1e-06,60,2,804.8343348503113,381.67266488075256,5.721444319613057e-07,0.0014421939849853516
mlp,lc,0.992,0.992,0.992,0.992,0.017,0.017,0.017,0.017,7.694,0.174,0.341,0.176,0.174,0.176,0.2,5e-06,60,2,804.8343348503113,381.67266488075256,5.721444319613057e-07,0.0014421939849853516
xgb,random,0.833,0.83,0.83,0.833,0.087,0.089,0.089,0.087,7.946,0.023,0.826,0.755,0.855,0.84,0.876,1.2e-05,60,3,,,,
rf,random,0.825,0.823,0.823,0.825,0.089,0.092,0.092,0.089,14.162,0.211,0.84,0.761,0.857,0.842,0.9,1.7e-05,60,3,,,,
svc,random,0.808,0.804,0.804,0.808,0.097,0.103,0.103,0.097,7.074,0.006,0.79,0.726,0.838,0.822,0.856,1e-05,60,3,,,,
logreg,random,0.808,0.805,0.805,0.808,0.077,0.08,0.08,0.077,5.582,0.005,0.826,0.768,0.866,0.855,0.89,1e-06,60,3,,,,
mlp,random,0.775,0.772,0.772,0.775,0.033,0.038,0.038,0.033,6.593,0.134,0.774,0.666,0.781,0.749,0.85,8e-06,60,3,,,,
xgb,k-means,0.925,0.925,0.925,0.925,0.041,0.041,0.041,0.041,7.253,0.038,0.843,0.797,0.886,0.878,0.888,2e-06,60,3,438.03913140296936,689.1944587230682,8.26526334868623e-07,0.0013737678527832031
rf,k-means,0.908,0.908,0.908,0.908,0.049,0.049,0.049,0.049,17.471,0.355,0.791,0.759,0.867,0.86,0.879,2.5e-05,60,3,438.03913140296936,689.1944587230682,8.26526334868623e-07,0.0013737678527832031
svc,k-means,0.808,0.807,0.807,0.808,0.042,0.043,0.043,0.042,7.101,0.005,0.791,0.738,0.848,0.835,0.866,8e-06,60,3,438.03913140296936,689.1944587230682,8.26526334868623e-07,0.0013737678527832031
logreg,k-means,0.808,0.807,0.807,0.808,0.086,0.087,0.087,0.086,7.406,0.016,0.815,0.734,0.839,0.821,0.885,0.0,60,3,438.03913140296936,689.1944587230682,8.26526334868623e-07,0.0013737678527832031
mlp,k-means,0.717,0.713,0.713,0.717,0.076,0.076,0.076,0.076,6.592,0.101,0.767,0.675,0.794,0.766,0.847,2e-06,60,3,438.03913140296936,689.1944587230682,8.26526334868623e-07,0.0013737678527832031
xgb,ag,0.933,0.933,0.933,0.933,0.042,0.043,0.043,0.042,4.395,0.047,0.821,0.762,0.862,0.85,0.879,6e-06,60,3,438.03913140296936,689.1944587230682,8.26526334868623e-07,0.0015482902526855469
rf,ag,0.867,0.866,0.866,0.867,0.067,0.067,0.067,0.067,13.185,0.11,0.813,0.767,0.867,0.858,0.881,9e-06,60,3,438.03913140296936,689.1944587230682,8.26526334868623e-07,0.0015482902526855469
svc,ag,0.783,0.781,0.781,0.783,0.076,0.077,0.077,0.076,7.108,0.008,0.754,0.663,0.784,0.754,0.839,1.2e-05,60,3,438.03913140296936,689.1944587230682,8.26526334868623e-07,0.0015482902526855469
logreg,ag,0.808,0.807,0.807,0.808,0.033,0.034,0.034,0.033,3.238,0.009,0.77,0.667,0.784,0.753,0.864,1e-06,60,3,438.03913140296936,689.1944587230682,8.26526334868623e-07,0.0015482902526855469
mlp,ag,0.767,0.764,0.764,0.767,0.042,0.044,0.044,0.042,8.919,0.159,0.723,0.606,0.726,0.683,0.828,3.8e-05,60,3,438.03913140296936,689.1944587230682,8.26526334868623e-07,0.0015482902526855469
xgb,k_center,0.633,0.631,0.631,0.633,0.049,0.047,0.047,0.049,5.568,0.027,0.677,0.509,0.604,0.547,0.819,1.8e-05,60,3,438.03913140296936,689.1944587230682,8.26526334868623e-07,0.001356363296508789
rf,k_center,0.642,0.639,0.639,0.642,0.062,0.062,0.062,0.062,14.68,0.292,0.793,0.715,0.826,0.806,0.869,1.9e-05,60,3,438.03913140296936,689.1944587230682,8.26526334868623e-07,0.001356363296508789
svc,k_center,0.592,0.556,0.556,0.592,0.049,0.073,0.073,0.049,7.611,0.008,0.569,0.296,0.295,0.296,0.28,1.2e-05,60,3,438.03913140296936,689.1944587230682,8.26526334868623e-07,0.001356363296508789
logreg,k_center,0.642,0.633,0.633,0.642,0.042,0.044,0.044,0.042,6.99,0.006,0.585,0.349,0.379,0.352,0.693,0.0,60,3,438.03913140296936,689.1944587230682,8.26526334868623e-07,0.001356363296508789
mlp,k_center,0.483,0.481,0.481,0.483,0.05,0.051,0.051,0.05,6.792,0.726,0.598,0.388,0.439,0.397,0.659,2.6e-05,60,3,438.03913140296936,689.1944587230682,8.26526334868623e-07,0.001356363296508789
xgb,craig,0.588,0.574,0.581,0.6,0.101,0.116,0.121,0.111,4.158,0.026,0.604,0.606,0.795,0.797,0.682,1.5e-05,60,3,438.03913140296936,689.1944587230682,8.26526334868623e-07,0.0013720989227294922
rf,craig,0.479,0.469,0.474,0.483,0.141,0.146,0.149,0.143,14.969,0.191,0.611,0.585,0.758,0.736,0.686,1.4e-05,60,3,438.03913140296936,689.1944587230682,8.26526334868623e-07,0.0013720989227294922
svc,craig,0.633,0.628,0.63,0.633,0.122,0.123,0.125,0.125,3.764,0.004,0.59,0.551,0.718,0.682,0.363,7e-06,60,3,438.03913140296936,689.1944587230682,8.26526334868623e-07,0.0013720989227294922
logreg,craig,0.63,0.582,0.592,0.65,0.125,0.168,0.17,0.133,7.15,0.009,0.563,0.312,0.324,0.312,0.661,1e-06,60,3,438.03913140296936,689.1944587230682,8.26526334868623e-07,0.0013720989227294922
mlp,craig,0.568,0.562,0.565,0.567,0.082,0.08,0.081,0.082,7.837,0.111,0.593,0.559,0.73,0.698,0.652,4e-06,60,3,438.03913140296936,689.1944587230682,8.26526334868623e-07,0.0013720989227294922
xgb,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,13.855,0.032,0.177,0.11,0.127,0.111,0.091,1.8e-05,60,3,438.03913140296936,689.1944587230682,8.26526334868623e-07,0.0013308525085449219
rf,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,15.905,0.443,0.199,0.12,0.133,0.12,0.102,3.3e-05,60,3,438.03913140296936,689.1944587230682,8.26526334868623e-07,0.0013308525085449219
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.062,0.006,0.326,0.286,0.393,0.32,0.241,9e-06,60,3,438.03913140296936,689.1944587230682,8.26526334868623e-07,0.0013308525085449219
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.219,0.006,0.282,0.235,0.315,0.252,0.21,0.0,60,3,438.03913140296936,689.1944587230682,8.26526334868623e-07,0.0013308525085449219
mlp,lc,0.95,0.95,0.95,0.95,0.061,0.061,0.061,0.061,8.27,0.084,0.359,0.326,0.453,0.376,0.34,5e-06,60,3,438.03913140296936,689.1944587230682,8.26526334868623e-07,0.0013308525085449219
xgb,random,0.875,0.875,0.875,0.875,0.07,0.07,0.07,0.07,7.464,0.031,0.824,0.753,0.854,0.839,0.88,1.4e-05,60,4,,,,
rf,random,0.858,0.858,0.858,0.858,0.073,0.073,0.073,0.073,14.996,0.42,0.78,0.698,0.814,0.791,0.856,2.9e-05,60,4,,,,
svc,random,0.808,0.808,0.808,0.808,0.057,0.056,0.056,0.057,3.965,0.007,0.789,0.702,0.815,0.792,0.861,1.2e-05,60,4,,,,
logreg,random,0.8,0.798,0.798,0.8,0.072,0.073,0.073,0.072,7.085,0.005,0.774,0.708,0.825,0.806,0.844,1e-06,60,4,,,,
mlp,random,0.775,0.773,0.773,0.775,0.05,0.051,0.051,0.05,7.226,0.101,0.772,0.683,0.8,0.774,0.854,2.6e-05,60,4,,,,
xgb,k-means,0.95,0.949,0.949,0.95,0.049,0.049,0.049,0.049,4.27,0.021,0.831,0.802,0.892,0.887,0.899,8e-06,60,4,1060.0081543922424,531.5448176860809,5.750878712094731e-07,0.0015225410461425781
rf,k-means,0.933,0.933,0.933,0.933,0.02,0.021,0.021,0.02,14.276,0.196,0.827,0.784,0.879,0.871,0.888,1.5e-05,60,4,1060.0081543922424,531.5448176860809,5.750878712094731e-07,0.0015225410461425781
svc,k-means,0.833,0.833,0.833,0.833,0.07,0.07,0.07,0.07,7.082,0.007,0.762,0.645,0.76,0.723,0.839,8e-06,60,4,1060.0081543922424,531.5448176860809,5.750878712094731e-07,0.0015225410461425781
logreg,k-means,0.808,0.808,0.808,0.808,0.057,0.057,0.057,0.057,3.342,0.005,0.764,0.654,0.77,0.736,0.85,1e-06,60,4,1060.0081543922424,531.5448176860809,5.750878712094731e-07,0.0015225410461425781
mlp,k-means,0.775,0.773,0.773,0.775,0.033,0.033,0.033,0.033,7.573,0.178,0.745,0.645,0.767,0.732,0.83,1e-05,60,4,1060.0081543922424,531.5448176860809,5.750878712094731e-07,0.0015225410461425781
xgb,ag,0.967,0.967,0.967,0.967,0.031,0.031,0.031,0.031,4.863,0.036,0.828,0.804,0.893,0.89,0.882,1.7e-05,60,4,1060.0081543922424,531.5448176860809,5.750878712094731e-07,0.0015804767608642578
rf,ag,0.95,0.95,0.95,0.95,0.031,0.031,0.031,0.031,14.709,0.163,0.789,0.756,0.864,0.856,0.867,1.3e-05,60,4,1060.0081543922424,531.5448176860809,5.750878712094731e-07,0.0015804767608642578
svc,ag,0.833,0.83,0.83,0.833,0.037,0.039,0.039,0.037,7.332,0.008,0.714,0.608,0.732,0.69,0.809,7e-06,60,4,1060.0081543922424,531.5448176860809,5.750878712094731e-07,0.0015804767608642578
logreg,ag,0.8,0.799,0.799,0.8,0.049,0.049,0.049,0.049,4.027,0.014,0.653,0.519,0.63,0.573,0.7,1e-06,60,4,1060.0081543922424,531.5448176860809,5.750878712094731e-07,0.0015804767608642578
mlp,ag,0.692,0.689,0.689,0.692,0.068,0.066,0.066,0.068,8.384,0.105,0.742,0.63,0.75,0.711,0.827,2.6e-05,60,4,1060.0081543922424,531.5448176860809,5.750878712094731e-07,0.0015804767608642578
xgb,k_center,0.692,0.688,0.688,0.692,0.166,0.168,0.168,0.166,7.276,0.022,0.766,0.689,0.809,0.786,0.815,9e-06,60,4,1060.0081543922424,531.5448176860809,5.750878712094731e-07,0.0019080638885498047
rf,k_center,0.658,0.652,0.652,0.658,0.122,0.122,0.122,0.122,14.13,0.219,0.767,0.648,0.762,0.726,0.848,1.6e-05,60,4,1060.0081543922424,531.5448176860809,5.750878712094731e-07,0.0019080638885498047
svc,k_center,0.65,0.643,0.643,0.65,0.086,0.091,0.091,0.086,7.191,0.009,0.557,0.382,0.446,0.396,0.575,8e-06,60,4,1060.0081543922424,531.5448176860809,5.750878712094731e-07,0.0019080638885498047
logreg,k_center,0.625,0.613,0.613,0.625,0.087,0.096,0.096,0.087,6.705,0.011,0.564,0.419,0.507,0.447,0.585,1e-06,60,4,1060.0081543922424,531.5448176860809,5.750878712094731e-07,0.0019080638885498047
mlp,k_center,0.6,0.591,0.591,0.6,0.077,0.08,0.08,0.077,5.051,0.077,0.587,0.389,0.445,0.4,0.626,2e-06,60,4,1060.0081543922424,531.5448176860809,5.750878712094731e-07,0.0019080638885498047
xgb,craig,0.612,0.592,0.636,0.65,0.187,0.205,0.177,0.17,4.349,0.029,0.51,0.284,0.297,0.285,0.669,5e-06,60,4,1060.0081543922424,531.5448176860809,5.750878712094731e-07,0.0013129711151123047
rf,craig,0.725,0.697,0.735,0.75,0.204,0.218,0.179,0.158,17.251,0.457,0.47,0.168,0.111,0.177,0.517,3e-05,60,4,1060.0081543922424,531.5448176860809,5.750878712094731e-07,0.0013129711151123047
svc,craig,0.625,0.612,0.672,0.7,0.125,0.148,0.114,0.085,6.298,0.005,0.554,0.429,0.53,0.466,0.607,5e-06,60,4,1060.0081543922424,531.5448176860809,5.750878712094731e-07,0.0013129711151123047
logreg,craig,0.65,0.631,0.679,0.7,0.122,0.151,0.122,0.1,2.746,0.009,0.607,0.473,0.578,0.517,0.672,0.0,60,4,1060.0081543922424,531.5448176860809,5.750878712094731e-07,0.0013129711151123047
mlp,craig,0.538,0.519,0.595,0.633,0.064,0.085,0.067,0.067,4.968,0.762,0.515,0.271,0.272,0.271,0.579,3.6e-05,60,4,1060.0081543922424,531.5448176860809,5.750878712094731e-07,0.0013129711151123047
xgb,lc,0.992,0.992,0.992,0.992,0.017,0.017,0.017,0.017,13.669,0.031,0.199,0.105,0.105,0.105,0.095,1.9e-05,60,4,1060.0081543922424,531.5448176860809,5.750878712094731e-07,0.0014531612396240234
rf,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,17.058,0.465,0.231,0.13,0.137,0.13,0.107,2.9e-05,60,4,1060.0081543922424,531.5448176860809,5.750878712094731e-07,0.0014531612396240234
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.405,0.007,0.294,0.252,0.344,0.276,0.178,6e-06,60,4,1060.0081543922424,531.5448176860809,5.750878712094731e-07,0.0014531612396240234
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.979,0.007,0.236,0.176,0.224,0.182,0.145,1e-06,60,4,1060.0081543922424,531.5448176860809,5.750878712094731e-07,0.0014531612396240234
mlp,lc,0.992,0.992,0.992,0.992,0.017,0.017,0.017,0.017,8.405,0.155,0.268,0.213,0.279,0.225,0.172,1.3e-05,60,4,1060.0081543922424,531.5448176860809,5.750878712094731e-07,0.0014531612396240234
xgb,random,0.879,0.878,0.878,0.879,0.036,0.036,0.036,0.036,7.491,0.032,0.841,0.747,0.844,0.826,0.9,1.1e-05,70,0,,,,
rf,random,0.843,0.841,0.841,0.843,0.048,0.049,0.049,0.048,17.223,0.433,0.824,0.715,0.818,0.793,0.883,3.4e-05,70,0,,,,
svc,random,0.829,0.827,0.827,0.829,0.052,0.054,0.054,0.052,7.13,0.008,0.78,0.69,0.805,0.779,0.849,7e-06,70,0,,,,
logreg,random,0.829,0.826,0.826,0.829,0.027,0.029,0.029,0.027,6.982,0.007,0.773,0.692,0.809,0.786,0.856,1e-06,70,0,,,,
mlp,random,0.821,0.817,0.817,0.821,0.045,0.049,0.049,0.045,7.325,0.133,0.772,0.68,0.797,0.77,0.84,2.1e-05,70,0,,,,
xgb,k-means,0.957,0.957,0.957,0.957,0.042,0.042,0.042,0.042,6.222,0.013,0.82,0.799,0.891,0.887,0.863,1.3e-05,70,0,1674.8080716133118,149.06949019432068,5.786114043240677e-07,0.0013661384582519531
rf,k-means,0.914,0.913,0.913,0.914,0.043,0.044,0.044,0.043,16.396,0.471,0.776,0.697,0.813,0.791,0.858,3.2e-05,70,0,1674.8080716133118,149.06949019432068,5.786114043240677e-07,0.0013661384582519531
svc,k-means,0.871,0.871,0.871,0.871,0.029,0.029,0.029,0.029,7.286,0.008,0.793,0.703,0.815,0.792,0.865,8e-06,70,0,1674.8080716133118,149.06949019432068,5.786114043240677e-07,0.0013661384582519531
logreg,k-means,0.893,0.892,0.892,0.893,0.06,0.06,0.06,0.06,6.924,0.018,0.813,0.774,0.873,0.865,0.882,0.0,70,0,1674.8080716133118,149.06949019432068,5.786114043240677e-07,0.0013661384582519531
mlp,k-means,0.807,0.806,0.806,0.807,0.029,0.029,0.029,0.029,8.53,0.196,0.755,0.664,0.785,0.756,0.852,1.3e-05,70,0,1674.8080716133118,149.06949019432068,5.786114043240677e-07,0.0013661384582519531
xgb,ag,0.936,0.936,0.936,0.936,0.027,0.027,0.027,0.027,3.182,0.029,0.834,0.801,0.89,0.885,0.865,2e-06,70,0,1674.8080716133118,149.06949019432068,5.786114043240677e-07,0.0014846324920654297
rf,ag,0.9,0.899,0.899,0.9,0.042,0.042,0.042,0.042,17.393,0.323,0.788,0.687,0.799,0.771,0.864,2.4e-05,70,0,1674.8080716133118,149.06949019432068,5.786114043240677e-07,0.0014846324920654297
svc,ag,0.85,0.848,0.848,0.85,0.091,0.092,0.092,0.091,7.147,0.008,0.795,0.73,0.84,0.824,0.875,1e-05,70,0,1674.8080716133118,149.06949019432068,5.786114043240677e-07,0.0014846324920654297
logreg,ag,0.814,0.808,0.808,0.814,0.094,0.1,0.1,0.094,6.998,0.007,0.775,0.699,0.816,0.794,0.853,1e-06,70,0,1674.8080716133118,149.06949019432068,5.786114043240677e-07,0.0014846324920654297
mlp,ag,0.671,0.667,0.667,0.671,0.042,0.042,0.042,0.042,7.699,0.143,0.739,0.657,0.782,0.753,0.819,4e-06,70,0,1674.8080716133118,149.06949019432068,5.786114043240677e-07,0.0014846324920654297
xgb,k_center,0.743,0.741,0.741,0.743,0.083,0.085,0.085,0.083,7.505,0.027,0.804,0.782,0.882,0.878,0.886,3e-06,70,0,1674.8080716133118,149.06949019432068,5.786114043240677e-07,0.0014832019805908203
rf,k_center,0.664,0.663,0.663,0.664,0.029,0.028,0.028,0.029,16.148,0.482,0.83,0.776,0.871,0.861,0.893,3.1e-05,70,0,1674.8080716133118,149.06949019432068,5.786114043240677e-07,0.0014832019805908203
svc,k_center,0.657,0.649,0.649,0.657,0.048,0.055,0.055,0.048,7.919,0.013,0.573,0.311,0.319,0.311,0.697,1.4e-05,70,0,1674.8080716133118,149.06949019432068,5.786114043240677e-07,0.0014832019805908203
logreg,k_center,0.621,0.613,0.613,0.621,0.058,0.065,0.065,0.058,3.946,0.007,0.575,0.344,0.374,0.347,0.69,0.0,70,0,1674.8080716133118,149.06949019432068,5.786114043240677e-07,0.0014832019805908203
mlp,k_center,0.571,0.564,0.564,0.571,0.06,0.065,0.065,0.06,6.959,0.12,0.649,0.498,0.598,0.54,0.724,4.2e-05,70,0,1674.8080716133118,149.06949019432068,5.786114043240677e-07,0.0014832019805908203
xgb,craig,0.672,0.669,0.7,0.714,0.077,0.087,0.071,0.064,4.182,0.032,0.661,0.532,0.646,0.59,0.746,1.9e-05,70,0,1674.8080716133118,149.06949019432068,5.786114043240677e-07,0.0016698837280273438
rf,craig,0.701,0.691,0.71,0.714,0.07,0.072,0.07,0.064,15.397,0.312,0.468,0.2,0.166,0.203,0.59,2.2e-05,70,0,1674.8080716133118,149.06949019432068,5.786114043240677e-07,0.0016698837280273438
svc,craig,0.696,0.697,0.722,0.729,0.146,0.159,0.143,0.139,7.306,0.004,0.673,0.588,0.724,0.682,0.744,7e-06,70,0,1674.8080716133118,149.06949019432068,5.786114043240677e-07,0.0016698837280273438
logreg,craig,0.716,0.718,0.739,0.743,0.14,0.14,0.131,0.132,6.999,0.011,0.743,0.69,0.817,0.8,0.819,1e-06,70,0,1674.8080716133118,149.06949019432068,5.786114043240677e-07,0.0016698837280273438
mlp,craig,0.643,0.646,0.681,0.7,0.121,0.132,0.121,0.123,4.295,1.228,0.664,0.548,0.669,0.616,0.743,1.5e-05,70,0,1674.8080716133118,149.06949019432068,5.786114043240677e-07,0.0016698837280273438
xgb,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,14.131,0.035,0.166,0.11,0.131,0.111,0.118,1e-05,70,0,1674.8080716133118,149.06949019432068,5.786114043240677e-07,0.0016453266143798828
rf,lc,0.986,0.986,0.986,0.986,0.017,0.018,0.018,0.017,17.035,0.328,0.214,0.129,0.145,0.13,0.119,2.6e-05,70,0,1674.8080716133118,149.06949019432068,5.786114043240677e-07,0.0016453266143798828
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.172,0.005,0.289,0.256,0.354,0.283,0.183,5e-06,70,0,1674.8080716133118,149.06949019432068,5.786114043240677e-07,0.0016453266143798828
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.887,0.007,0.249,0.186,0.237,0.193,0.161,1e-06,70,0,1674.8080716133118,149.06949019432068,5.786114043240677e-07,0.0016453266143798828
mlp,lc,0.986,0.986,0.986,0.986,0.029,0.029,0.029,0.029,7.348,0.141,0.27,0.231,0.314,0.25,0.195,1.7e-05,70,0,1674.8080716133118,149.06949019432068,5.786114043240677e-07,0.0016453266143798828
xgb,random,0.871,0.871,0.871,0.871,0.062,0.062,0.062,0.062,6.167,0.013,0.821,0.762,0.862,0.85,0.896,2.2e-05,70,1,,,,
rf,random,0.843,0.842,0.842,0.843,0.066,0.066,0.066,0.066,14.962,0.262,0.808,0.731,0.838,0.82,0.874,2.2e-05,70,1,,,,
svc,random,0.793,0.792,0.792,0.793,0.089,0.089,0.089,0.089,7.205,0.011,0.808,0.755,0.859,0.848,0.875,1.4e-05,70,1,,,,
logreg,random,0.786,0.785,0.785,0.786,0.064,0.065,0.065,0.064,6.848,0.007,0.822,0.774,0.871,0.862,0.872,0.0,70,1,,,,
mlp,random,0.757,0.755,0.755,0.757,0.069,0.07,0.07,0.069,5.282,0.071,0.765,0.67,0.788,0.758,0.84,8e-06,70,1,,,,
xgb,k-means,0.957,0.957,0.957,0.957,0.052,0.053,0.053,0.052,7.36,0.022,0.85,0.777,0.868,0.856,0.904,5e-06,70,1,923.4957795143127,1085.446846485138,5.653122153122747e-07,0.0014243125915527344
rf,k-means,0.914,0.914,0.914,0.914,0.074,0.074,0.074,0.074,17.412,0.277,0.777,0.624,0.729,0.685,0.874,2e-05,70,1,923.4957795143127,1085.446846485138,5.653122153122747e-07,0.0014243125915527344
svc,k-means,0.843,0.842,0.842,0.843,0.043,0.043,0.043,0.043,6.473,0.009,0.729,0.597,0.711,0.664,0.826,8e-06,70,1,923.4957795143127,1085.446846485138,5.653122153122747e-07,0.0014243125915527344
logreg,k-means,0.843,0.84,0.84,0.843,0.058,0.06,0.06,0.058,7.052,0.007,0.735,0.587,0.695,0.646,0.806,0.0,70,1,923.4957795143127,1085.446846485138,5.653122153122747e-07,0.0014243125915527344
mlp,k-means,0.729,0.728,0.728,0.729,0.137,0.137,0.137,0.137,7.739,0.068,0.687,0.525,0.624,0.569,0.788,9e-06,70,1,923.4957795143127,1085.446846485138,5.653122153122747e-07,0.0014243125915527344
xgb,ag,0.964,0.964,0.964,0.964,0.032,0.032,0.032,0.032,6.212,0.029,0.85,0.798,0.885,0.877,0.89,9e-06,70,1,923.4957795143127,1085.446846485138,5.653122153122747e-07,0.0016584396362304688
rf,ag,0.943,0.942,0.942,0.943,0.036,0.037,0.037,0.036,16.1,0.202,0.839,0.743,0.841,0.822,0.883,1.5e-05,70,1,923.4957795143127,1085.446846485138,5.653122153122747e-07,0.0016584396362304688
svc,ag,0.8,0.798,0.798,0.8,0.105,0.106,0.106,0.105,7.165,0.009,0.729,0.595,0.709,0.662,0.794,1.1e-05,70,1,923.4957795143127,1085.446846485138,5.653122153122747e-07,0.0016584396362304688
logreg,ag,0.843,0.842,0.842,0.843,0.097,0.098,0.098,0.097,6.911,0.007,0.738,0.606,0.72,0.676,0.792,1e-06,70,1,923.4957795143127,1085.446846485138,5.653122153122747e-07,0.0016584396362304688
mlp,ag,0.786,0.784,0.784,0.786,0.045,0.046,0.046,0.045,7.236,0.174,0.717,0.567,0.674,0.623,0.813,2.6e-05,70,1,923.4957795143127,1085.446846485138,5.653122153122747e-07,0.0016584396362304688
xgb,k_center,0.7,0.699,0.699,0.7,0.074,0.073,0.073,0.074,7.335,0.039,0.749,0.614,0.725,0.681,0.853,1.1e-05,70,1,923.4957795143127,1085.446846485138,5.653122153122747e-07,0.0015022754669189453
rf,k_center,0.693,0.69,0.69,0.693,0.086,0.087,0.087,0.086,18.472,0.448,0.807,0.721,0.828,0.808,0.874,3.2e-05,70,1,923.4957795143127,1085.446846485138,5.653122153122747e-07,0.0015022754669189453
svc,k_center,0.643,0.632,0.632,0.643,0.087,0.088,0.088,0.087,6.475,0.008,0.561,0.291,0.289,0.291,0.5,1.4e-05,70,1,923.4957795143127,1085.446846485138,5.653122153122747e-07,0.0015022754669189453
logreg,k_center,0.636,0.632,0.632,0.636,0.061,0.061,0.061,0.061,7.02,0.008,0.603,0.4,0.458,0.412,0.683,1e-06,70,1,923.4957795143127,1085.446846485138,5.653122153122747e-07,0.0015022754669189453
mlp,k_center,0.557,0.545,0.545,0.557,0.036,0.044,0.044,0.036,7.943,0.084,0.612,0.407,0.466,0.419,0.688,9e-06,70,1,923.4957795143127,1085.446846485138,5.653122153122747e-07,0.0015022754669189453
