model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
rf,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,15.003,0.354,0.23,0.143,0.162,0.144,0.125,2.4e-05,30,4,1531.9543039798737,779.8513159751892,5.754960854117738e-07,0.0013952255249023438
svc,lc,0.983,0.983,0.983,0.983,0.033,0.034,0.034,0.033,6.984,0.004,0.306,0.259,0.349,0.282,0.244,6e-06,30,4,1531.9543039798737,779.8513159751892,5.754960854117738e-07,0.0013952255249023438
logreg,lc,0.967,0.966,0.966,0.967,0.041,0.041,0.041,0.041,6.983,0.007,0.313,0.247,0.321,0.262,0.241,0.0,30,4,1531.9543039798737,779.8513159751892,5.754960854117738e-07,0.0013952255249023438
mlp,lc,0.967,0.966,0.966,0.967,0.067,0.069,0.069,0.067,5.705,0.102,0.329,0.295,0.408,0.333,0.282,8e-06,30,4,1531.9543039798737,779.8513159751892,5.754960854117738e-07,0.0013952255249023438
xgb,random,0.9,0.899,0.899,0.9,0.102,0.103,0.103,0.102,7.695,0.014,0.814,0.723,0.829,0.808,0.882,1.4e-05,40,0,,,,
rf,random,0.862,0.862,0.862,0.862,0.073,0.073,0.073,0.073,16.376,0.358,0.818,0.722,0.827,0.805,0.88,2.7e-05,40,0,,,,
svc,random,0.825,0.818,0.818,0.825,0.145,0.151,0.151,0.145,7.125,0.006,0.78,0.733,0.847,0.835,0.844,8e-06,40,0,,,,
logreg,random,0.862,0.859,0.859,0.862,0.127,0.131,0.131,0.127,2.984,0.006,0.78,0.699,0.814,0.792,0.846,1e-06,40,0,,,,
mlp,random,0.775,0.771,0.771,0.775,0.094,0.096,0.096,0.094,6.867,0.107,0.753,0.664,0.785,0.756,0.821,9e-06,40,0,,,,
xgb,k-means,0.95,0.95,0.95,0.95,0.047,0.047,0.047,0.047,6.905,0.032,0.82,0.802,0.893,0.891,0.904,2e-06,40,0,954.8321652412415,733.0763194561005,5.728749205338436e-07,0.001399993896484375
rf,k-means,0.875,0.873,0.873,0.875,0.056,0.058,0.058,0.056,14.812,0.372,0.76,0.726,0.846,0.837,0.85,2.5e-05,40,0,954.8321652412415,733.0763194561005,5.728749205338436e-07,0.001399993896484375
