model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
svc,k_means,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,6.368,0.002,0.8,0.738,0.846,0.831,0.865,5e-06,latent,10,6,526.7582879066467,0,5.717147328009893e-07,0.0014901161193847656
logreg,k_means,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,7.136,0.008,0.813,0.769,0.869,0.861,0.89,1e-06,latent,10,6,526.7582879066467,0,5.717147328009893e-07,0.0014901161193847656
mlp,k_means,0.7,0.687,0.687,0.7,0.1,0.093,0.093,0.1,6.3,0.031,0.78,0.715,0.83,0.813,0.873,4.1e-05,latent,10,6,526.7582879066467,0,5.717147328009893e-07,0.0014901161193847656
xgb,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,4.201,0.018,0.829,0.799,0.89,0.885,0.868,3e-06,latent,10,6,526.7582879066467,0,5.717147328009893e-07,0.0014643669128417969
rf,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,16.761,0.335,0.827,0.773,0.87,0.86,0.887,2e-05,latent,10,6,526.7582879066467,0,5.717147328009893e-07,0.0014643669128417969
svc,ag,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,6.86,0.002,0.813,0.759,0.861,0.85,0.882,3e-06,latent,10,6,526.7582879066467,0,5.717147328009893e-07,0.0014643669128417969
logreg,ag,0.6,0.527,0.527,0.6,0.122,0.179,0.179,0.122,5.213,0.008,0.813,0.784,0.881,0.876,0.889,1e-06,latent,10,6,526.7582879066467,0,5.717147328009893e-07,0.0014643669128417969
mlp,ag,0.55,0.5,0.5,0.55,0.187,0.213,0.213,0.187,7.367,0.056,0.76,0.703,0.825,0.808,0.855,6.2e-05,latent,10,6,526.7582879066467,0,5.717147328009893e-07,0.0014643669128417969
xgb,k_center,0.6,0.56,0.56,0.6,0.122,0.154,0.154,0.122,6.668,0.045,0.502,0.3,0.328,0.303,0.612,2e-06,latent,10,6,526.7582879066467,0,5.717147328009893e-07,0.0025787353515625
rf,k_center,0.5,0.387,0.387,0.5,0.158,0.181,0.181,0.158,13.56,0.18,0.58,0.328,0.346,0.329,0.785,1.4e-05,latent,10,6,526.7582879066467,0,5.717147328009893e-07,0.0025787353515625
svc,k_center,0.6,0.493,0.493,0.6,0.122,0.196,0.196,0.122,6.219,0.001,0.5,0.135,0.043,0.156,0.491,5e-06,latent,10,6,526.7582879066467,0,5.717147328009893e-07,0.0025787353515625
logreg,k_center,0.55,0.513,0.513,0.55,0.332,0.341,0.341,0.332,7.073,0.007,0.493,0.133,0.043,0.153,0.4,1e-06,latent,10,6,526.7582879066467,0,5.717147328009893e-07,0.0025787353515625
mlp,k_center,0.3,0.227,0.227,0.3,0.1,0.053,0.053,0.1,7.735,0.04,0.498,0.249,0.24,0.249,0.528,6.5e-05,latent,10,6,526.7582879066467,0,5.717147328009893e-07,0.0025787353515625
xgb,random,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,7.78,0.04,0.799,0.8,0.895,0.895,0.8,1.7e-05,original,10,7,,,,
rf,random,0.5,0.453,0.453,0.5,0.158,0.18,0.18,0.158,15.667,0.184,0.768,0.661,0.777,0.745,0.841,1.4e-05,original,10,7,,,,
svc,random,0.7,0.633,0.633,0.7,0.245,0.306,0.306,0.245,6.368,0.002,0.639,0.432,0.497,0.448,0.421,5e-06,original,10,7,,,,
logreg,random,0.6,0.58,0.58,0.6,0.2,0.21,0.21,0.2,6.944,0.007,0.795,0.715,0.826,0.805,0.846,0.0,original,10,7,,,,
mlp,random,0.6,0.58,0.58,0.6,0.2,0.21,0.21,0.2,4.74,0.035,0.679,0.58,0.71,0.664,0.737,7.8e-05,original,10,7,,,,
xgb,k-means,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.203,0.047,0.811,0.807,0.898,0.898,0.878,1.7e-05,original,10,7,526.7582879066467,0,5.717147328009893e-07,0.0015053749084472656
rf,k-means,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,16.105,0.314,0.733,0.69,0.82,0.805,0.832,2.4e-05,original,10,7,526.7582879066467,0,5.717147328009893e-07,0.0015053749084472656
svc,k-means,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,5.138,0.001,0.814,0.715,0.821,0.797,0.886,3e-06,original,10,7,526.7582879066467,0,5.717147328009893e-07,0.0015053749084472656
logreg,k-means,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,5.446,0.006,0.788,0.669,0.779,0.746,0.869,1e-06,original,10,7,526.7582879066467,0,5.717147328009893e-07,0.0015053749084472656
mlp,k-means,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,6.044,0.057,0.758,0.639,0.755,0.717,0.85,6.4e-05,original,10,7,526.7582879066467,0,5.717147328009893e-07,0.0015053749084472656
